,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
426,Zerkalo,1975,107,8.0,80,"47,031",$0.18M,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Andrei Tarkovsky,"['Margarita Terekhova', 'Filipp Yankovskiy', 'Ignat Daniltsev', 'Oleg Yankovskiy']"
427,Young Frankenstein,1974,106,8.0,80,"158,658",$86.30M,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman', 'Peter Boyle']"
428,Papillon,1973,151,8.0,58,"131,044",$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape.",Franklin J. Schaffner,"['Steve McQueen', 'Dustin Hoffman', 'Victor Jory', 'Don Gordon']"
429,Viskningar och rop,1972,91,8.0,^^^^^^,"34,417",$1.74M,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Ingmar Bergman,"['Harriet Andersson', 'Liv Ullmann', 'Kari Sylwan', 'Ingrid Thulin']"
430,Solaris,1972,167,8.0,90,"91,555",*****,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Andrei Tarkovsky,"['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet', 'Vladislav Dvorzhetskiy']"
431,Sleuth,1972,138,8.0,^^^^^^,"47,939",$4.08M,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Joseph L. Mankiewicz,"['Laurence Olivier', 'Michael Caine', 'Alec Cawthorne', 'John Matthews']"
432,The Last Picture Show,1971,118,8.0,93,"48,663",$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson']"
433,Fiddler on the Roof,1971,181,8.0,67,"43,827",$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village.",Norman Jewison,"['Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon']"
434,Butch Cassidy and the Sundance Kid,1969,110,8.0,66,"216,177",$102.31M,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",George Roy Hill,"['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']"
435,Rosemary's Baby,1968,137,8.0,96,"216,802",*****,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Roman Polanski,"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']"
436,Planet of the Apes,1968,112,8.0,79,"180,575",$33.40M,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Franklin J. Schaffner,"['Charlton Heston', 'Roddy McDowall', 'Kim Hunter', 'Maurice Evans']"
437,Le Samouraï,1967,105,8.0,^^^^^^,"51,891",$0.04M,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Jean-Pierre Melville,"['Alain Delon', 'François Périer', 'Nathalie Delon', 'Cathy Rosier']"
438,The Graduate,1967,106,8.0,83,"273,383",$104.95M,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols,"['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross', 'William Daniels']"
439,Who's Afraid of Virginia Woolf?,1966,131,8.0,75,"75,669",*****,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Mike Nichols,"['Elizabeth Taylor', 'Richard Burton', 'George Segal', 'Sandy Dennis']"
440,Il gattopardo,1963,186,8.0,100,"26,203",*****,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.",Luchino Visconti,"['Burt Lancaster', 'Alain Delon', 'Claudia Cardinale', 'Paolo Stoppa']"
441,8½,1963,138,8.0,91,"118,240",$0.05M,A harried movie director retreats into his memories and fantasies.,Federico Fellini,"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale', 'Sandra Milo']"
442,El ángel exterminador,1962,95,8.0,^^^^^^,"33,414",*****,The guests at an upper-class dinner party find themselves unable to leave.,Luis Buñuel,"['Silvia Pinal', 'Jacqueline Andere', 'Enrique Rambal', 'José Baviera']"
443,What Ever Happened to Baby Jane?,1962,134,8.0,75,"56,840",$4.05M,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Robert Aldrich,"['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy']"
444,Sanjuro,1962,96,8.0,^^^^^^,"38,462",*****,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Akira Kurosawa,"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô']"
445,Ivanovo detstvo,1962,95,8.0,^^^^^^,"36,856",*****,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.","Directors:Andrei Tarkovsky, Eduard Abalov","['Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov', 'Stepan Krylov']"
446,Såsom i en spegel,1961,90,8.0,84,"25,540",*****,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.",Ingmar Bergman,"['Harriet Andersson', 'Gunnar Björnstrand', 'Max von Sydow', 'Lars Passgård']"
447,The Hustler,1961,134,8.0,90,"82,321",$8.28M,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Robert Rossen,"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']"
448,La dolce vita,1960,174,8.0,95,"73,543",$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']"
449,Rio Bravo,1959,141,8.0,93,"62,944",$12.54M,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson']"
450,Anatomy of a Murder,1959,161,8.0,95,"66,712",$11.90M,"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger,"['James Stewart', 'Lee Remick', 'Ben Gazzara', ""Arthur O'Connell""]"
451,Touch of Evil,1958,95,8.0,99,"104,847",$2.24M,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Orson Welles,"['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia']"
452,Sweet Smell of Success,1957,96,8.0,100,"32,481",*****,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Alexander Mackendrick,"['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner']"
453,The Killing,1956,84,8.0,91,"90,255",*****,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Stanley Kubrick,"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']"
454,The Night of the Hunter,1955,92,8.0,99,"89,854",$0.65M,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Charles Laughton,"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason']"
455,La Strada,1954,108,8.0,^^^^^^,"63,435",*****,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini,"['Anthony Quinn', 'Giulietta Masina', 'Richard Basehart', 'Aldo Silvani']"
456,Stalag 17,1953,120,8.0,84,"56,111",*****,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Billy Wilder,"['William Holden', 'Don Taylor', 'Otto Preminger', 'Robert Strauss']"
457,Roman Holiday,1953,118,8.0,78,"138,860",*****,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,William Wyler,"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power']"
458,High Noon,1952,85,8.0,89,"104,700",$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.",Fred Zinnemann,"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges']"
459,Kind Hearts and Coronets,1949,106,8.0,^^^^^^,"37,547",*****,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Robert Hamer,"['Dennis Price', 'Alec Guinness', 'Valerie Hobson', 'Joan Greenwood']"
460,Out of the Past,1947,97,8.0,85,"37,633",*****,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.",Jacques Tourneur,"['Robert Mitchum', 'Jane Greer', 'Kirk Douglas', 'Rhonda Fleming']"
461,Roma città aperta,1945,103,8.0,^^^^^^,"26,820",*****,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",Roberto Rossellini,"['Anna Magnani', 'Aldo Fabrizi', 'Marcello Pagliero', 'Vito Annichiarico']"
462,Brief Encounter,1945,86,8.0,92,"40,440",*****,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",David Lean,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']"
463,The Maltese Falcon,1941,100,8.0,97,"158,935",$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",John Huston,"['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre']"
464,The Shop Around the Corner,1940,99,8.0,96,"33,416",$0.20M,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Ernst Lubitsch,"['Margaret Sullavan', 'James Stewart', 'Frank Morgan', 'Joseph Schildkraut']"
465,Bronenosets Potemkin,1925,75,8.0,97,"58,037",$0.05M,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Sergei Eisenstein,"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']"
466,Das Cabinet des Dr. Caligari,1920,76,8.0,^^^^^^,"64,271",*****,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Robert Wiene,"['Werner Krauss', 'Conrad Veidt', 'Friedrich Feher', 'Lil Dagover']"
467,Knives Out,2019,130,7.9,82,"617,378",$165.36M,"A detective investigates the death of the patriarch of an eccentric, combative family.",Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']"
468,Manbiki kazoku,2018,121,7.9,93,"76,604",$3.31M,A family of small-time crooks take in a child they find outside in the cold.,Hirokazu Koreeda,"['Lily Franky', 'Sakura Andô', 'Kirin Kiki', 'Mayu Matsuoka']"
469,Badhaai ho,2018,124,7.9,^^^^^^,"34,820",*****,A man is embarrassed when he finds out his mother is pregnant.,Amit Ravindernath Sharma,"['Ayushmann Khurrana', 'Neena Gupta', 'Nayim Saifi', 'Gajraj Rao']"
470,Marriage Story,2019,137,7.9,94,"306,364",$2.00M,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Noah Baumbach,"['Adam Driver', 'Scarlett Johansson', 'Julia Greer', 'Azhy Robertson']"
471,Super 30,2019,154,7.9,^^^^^^,"32,416",$2.27M,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Vikas Bahl,"['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh Sandhu', 'Veerendra Saxena']"
472,Padman,2018,140,7.9,^^^^^^,"26,420",$1.66M,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",R. Balki,"['Akshay Kumar', 'Radhika Apte', 'Sonam Kapoor', 'Jyoti Subhash']"
473,Togo,2019,113,7.9,69,"49,050",*****,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']"
474,Airlift,2016,130,7.9,^^^^^^,"57,189",*****,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']"
475,M.S. Dhoni: The Untold Story,2016,184,7.9,^^^^^^,"58,711",$1.78M,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Neeraj Pandey,"['Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']"
476,Baby,I 2015,159,7.9,^^^^^^,"57,984",*****,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Neeraj Pandey,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']"
477,Sing Street,2016,106,7.9,79,"94,001",$3.24M,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,"['Ferdia Walsh-Peelo', 'Aidan Gillen', 'Maria Doyle Kennedy', 'Jack Reynor']"
478,Thor: Ragnarok,2017,130,7.9,74,"744,563",$315.06M,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']"
479,Jojo Rabbit,2019,108,7.9,58,"384,835",$0.35M,A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']"
480,Wonder,I 2017,113,7.9,66,"164,438",$132.42M,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Stephen Chbosky,"['Jacob Tremblay', 'Owen Wilson', 'Izabela Vidovic', 'Julia Roberts']"
481,Arrival,II 2016,116,7.9,81,"688,569",$100.55M,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']"
482,Gully Boy,2019,154,7.9,65,"39,894",$5.57M,A coming-of-age story based on the lives of street rappers in Mumbai.,Zoya Akhtar,"['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz']"
483,Short Term 12,2013,96,7.9,82,"88,130",$1.01M,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']"
484,Serbuan maut 2: Berandal,2014,150,7.9,71,"123,730",$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Gareth Evans,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']"
485,Before Midnight,2013,109,7.9,94,"158,440",$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick', 'Ariane Labed']"
486,X-Men: Days of Future Past,2014,132,7.9,75,"710,847",$233.92M,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Bryan Singer,"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'James McAvoy']"
487,The Batman,2022,176,7.9,72,"612,577",*****,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell']"
488,Bohemian Rhapsody,2018,134,7.9,49,"535,103",$216.43M,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Bryan Singer,"['Rami Malek', 'Lucy Boynton', 'Gwilym Lee', 'Ben Hardy']"
489,Hoje Eu Quero Voltar Sozinho,2014,96,7.9,71,"25,670",$0.10M,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend, Giovana, and the way he sees the world change completely with the arrival of Gabriel.",Daniel Ribeiro,"['Ghilherme Lobo', 'Fabio Audi', 'Tess Amorim', 'Lúcia Romano']"
490,The Artist,I 2011,100,7.9,89,"241,662",$44.67M,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Michel Hazanavicius,"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']"
491,Edge of Tomorrow,2014,113,7.9,71,"674,678",$100.21M,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Doug Liman,"['Tom Cruise', 'Emily Blunt', 'Bill Paxton', 'Brendan Gleeson']"
492,Amour,2012,127,7.9,94,"100,741",$6.74M,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Michael Haneke,"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud']"
493,Darbareye Elly,2009,119,7.9,87,"53,755",$0.11M,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Asghar Farhadi,"['Golshifteh Farahani', 'Shahab Hosseini', 'Taraneh Alidoosti', 'Sajjad Dolati']"
494,Dev.D,2009,144,7.9,^^^^^^,"30,887",$0.01M,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Anurag Kashyap,"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya']"
495,My Name Is Khan,2010,165,7.9,50,"107,450",$4.02M,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane']"
496,Låt den rätte komma in,2008,114,7.9,82,"217,632",$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Tomas Alfredson,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl']"
497,District 9,2009,112,7.9,81,"680,410",$115.65M,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Neill Blomkamp,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']"
498,The Wrestler,2008,109,7.9,80,"306,452",$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Darren Aronofsky,"['Mickey Rourke', 'Marisa Tomei', 'Evan Rachel Wood', 'Mark Margolis']"
499,Jab We Met,2007,138,7.9,^^^^^^,"53,471",$0.41M,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Imtiaz Ali,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa']"
500,Boyhood,I 2014,165,7.9,100,"354,496",$25.38M,"The life of Mason, from early childhood to his arrival at college.",Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Elijah Smith']"
501,"4 luni, 3 saptamâni si 2 zile",2007,113,7.9,97,"60,590",$1.19M,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Cristian Mungiu,"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov', 'Alexandru Potocean']"
502,Star Trek,2009,127,7.9,82,"603,399",$257.73M,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']"
503,Dallas Buyers Club,2013,117,7.9,79,"487,248",$27.30M,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn']"
504,In Bruges,2008,107,7.9,67,"424,339",$7.76M,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Ciarán Hinds', 'Elizabeth Berrington']"
505,The Man from Earth,2007,87,7.9,^^^^^^,"187,939",*****,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,Richard Schenkman,"['David Lee Smith', 'Tony Todd', 'John Billingsley', 'Ellen Crawford']"
506,Letters from Iwo Jima,2006,141,7.9,89,"163,218",$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",Clint Eastwood,"['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryô Kase']"
507,Life of Pi,2012,127,7.9,79,"628,346",$124.99M,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']"
508,Fantastic Mr. Fox,2009,87,7.9,83,"231,521",$21.00M,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,Wes Anderson,"['George Clooney', 'Meryl Streep', 'Bill Murray', 'Jason Schwartzman']"
509,Bin-jip,2004,88,7.9,72,"55,451",$0.24M,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Kim Ki-duk,"['Seung-Yun Lee', 'Hee Jae', 'Hyuk-ho Kwon', 'Jin-mo Joo']"
510,C.R.A.Z.Y.,2005,129,7.9,81,"33,027",*****,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.",Jean-Marc Vallée,"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']"
511,Vozvrashchenie,2003,110,7.9,82,"45,710",$0.50M,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Andrey Zvyagintsev,"['Vladimir Garin', 'Ivan Dobronravov', 'Konstantin Lavronenko', 'Nataliya Vdovina']"
512,Iron Man,2008,126,7.9,79,"1,051,876",$318.41M,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']"
513,Shaun of the Dead,2004,99,7.9,76,"557,120",$13.54M,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis']"
514,Kal Ho Naa Ho,2003,186,7.9,54,"69,692",$1.79M,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Nikkhil Advani,"['Preity Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']"
515,Gegen die Wand,2004,121,7.9,78,"54,585",*****,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",Fatih Akin,"['Birol Ünel', 'Sibel Kekilli', 'Güven Kiraç', 'Zarah Jane McKenzie']"
516,Mystic River,2003,138,7.9,84,"456,028",$90.14M,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,Clint Eastwood,"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum']"
517,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,"629,630",$249.36M,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Alfonso Cuarón,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Richard Griffiths']"
518,Ying xiong,2002,120,7.9,85,"181,744",$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Yimou Zhang,"['Jet Li', 'Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ziyi Zhang']"
519,Hable con ella,2002,112,7.9,86,"112,775",$9.28M,Two men share an odd friendship while they care for two women who are both in deep comas.,Pedro Almodóvar,"['Rosario Flores', 'Javier Cámara', 'Darío Grandinetti', 'Leonor Watling']"
520,No Man's Land,I 2001,98,7.9,84,"47,304",$1.06M,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",Danis Tanovic,"['Branko Djuric', 'Rene Bitorajac', 'Filip Sovagovic', 'Georges Siatidis']"
521,The Bourne Identity,2002,119,7.9,68,"546,292",$121.66M,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Doug Liman,"['Franka Potente', 'Matt Damon', 'Chris Cooper', 'Clive Owen']"
522,Nueve reinas,2000,114,7.9,80,"53,283",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Fabián Bielinsky,"['Ricardo Darín', 'Gastón Pauls', 'Graciela Tenenbaum', 'María Mercedes Villagra']"
523,Children of Men,2006,109,7.9,84,"499,903",$35.55M,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']"
524,Wo hu cang long,2000,120,7.9,94,"269,598",$128.08M,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,"['Chow Yun-Fat', 'Michelle Yeoh', 'Ziyi Zhang', 'Chang Chen']"
